字段代码,字段(大写),中文名,参数,来源
div_capitalization2,DIV_CAPITALIZATION2,每股转增股本(已宣告),REPORTDATE,xla去前缀变体
div_cashaftertax,DIV_CASHAFTERTAX,每股股利(税后),REPORTDATE,xla去前缀变体
div_cashaftertax2,DIV_CASHAFTERTAX2,每股股利(税后)(已宣告),REPORTDATE,xla去前缀变体
div_cashandstock,DIV_CASHANDSTOCK,每股分红送转,REPORTDATE,xla去前缀变体
div_cashbeforetax,DIV_CASHBEFORETAX,每股股利(税前),REPORTDATE,xla去前缀变体
div_cashbeforetax2,DIV_CASHBEFORETAX2,每股股利(税前)(已宣告),REPORTDATE,xla去前缀变体
div_cashbftax,DIV_CASHBFTAX,每股股利(税前),REPORTDATE,xla去前缀变体
div_cashbftax_ex,DIV_CASHBFTAX_EX,"每股股利(税前,剔除特别派息)",REPORTDATE,xla去前缀变体
div_cashdivbb,DIV_CASHDIVBB,"年度累计分红总额(已宣告,含回购)",Year,xla去前缀变体
div_cashpaidaftertax,DIV_CASHPAIDAFTERTAX,区间每股股利(税后),StartDate、EndDate,xla去前缀变体
div_cashpaidbeforetax,DIV_CASHPAIDBEFORETAX,区间每股股利(税前),StartDate、EndDate,xla去前缀变体
div_ccyoptend,DIV_CCYOPTEND,股东行使现金分红货币选择权截止日,REPORTDATE,xla去前缀变体
div_ccyoptstart,DIV_CCYOPTSTART,股东行使现金分红货币选择权起始日,REPORTDATE,xla去前缀变体
div_clause,DIV_CLAUSE,分红条款,,xla去前缀变体
div_compindex,DIV_COMPINDEX,成份分红对指数影响,TRADEDATE,xla去前缀变体
div_dividendratio,DIV_DIVIDENDRATIO,现金分红比例,,xla去前缀变体
div_divpct_3yaccubb,DIV_DIVPCT_3YACCUBB,三年累计分红占比(含回购),Year,xla去前缀变体
div_divpct_3yearaccu,DIV_DIVPCT_3YEARACCU,三年累计分红占比(再融资条件)(新增),,xla去前缀变体
div_divpct_accu,DIV_DIVPCT_ACCU,上市以来分红率,REPORTDATE,xla去前缀变体
div_exdate,DIV_EXDATE,除权除息日,REPORTDATE,xla去前缀变体
div_exdivdate,DIV_EXDIVDATE,最新分红日期,DEALDATE,xla去前缀变体
div_firstyear,DIV_FIRSTYEAR,上市后首次分红年份,,xla去前缀变体
div_freq,DIV_FREQ,年度现金分红次数,,xla去前缀变体
div_freqard,DIV_FREQARD,年度现金分红次数(已宣告),Year,xla去前缀变体
div_fstdiscdate,DIV_FSTDISCDATE,现金分红首次披露日,REPORTDATE,xla去前缀变体
div_ifdiv,DIV_IFDIV,是否分红(新增),D,xla去前缀变体
div_impdate,DIV_IMPDATE,分红实施公告日(新增),D,xla去前缀变体
div_lasttrddateshareb,DIV_LASTTRDDATESHAREB,B股最后交易日(新增),D,xla去前缀变体
div_object,DIV_OBJECT,分红对象(新增),D,xla去前缀变体
div_paydate,DIV_PAYDATE,派息日,REPORTDATE,xla去前缀变体
div_payout,DIV_PAYOUT,年度分红总额,RPTYEAR,xla去前缀变体
div_payoutratio,DIV_PAYOUTRATIO,年度现金分红比例,Year,xla去前缀变体
div_payoutratio_ex,DIV_PAYOUTRATIO_EX,"年度现金分红比例(已宣告,剔除特别派息)",Year,xla去前缀变体
div_periodpayout,DIV_PERIODPAYOUT,区间分红总额,,xla去前缀变体
div_periodperunit,DIV_PERIODPERUNIT,单位区间分红,,xla去前缀变体
div_periodtimes,DIV_PERIODTIMES,区间分红次数,,xla去前缀变体
div_perunit,DIV_PERUNIT,单位年度分红,RPTYEAR,xla去前缀变体
div_predisclosuredate,DIV_PREDISCLOSUREDATE,预披露公告日,REPORTDATE,xla去前缀变体
div_prelandate,DIV_PRELANDATE,预案公告日(新增),D,xla去前缀变体
div_profitdistall,DIV_PROFITDISTALL,年度利润分配合计,Year,xla去前缀变体
div_profitdistcash,DIV_PROFITDISTCASH,年度现金形式发放总额,Year,xla去前缀变体
div_profitdistre,DIV_PROFITDISTRE,年度再投资形式发放总额,Year,xla去前缀变体
div_progress,DIV_PROGRESS,分红方案进度,REPORTDATE,xla去前缀变体
div_ratiocs,DIV_RATIOCS,普通股股东年度现金分红比例,Year,xla去前缀变体
div_ratiocsa,DIV_RATIOCSA,普通股股东年度现金分红比例(公告),Year,xla去前缀变体
div_ratiocsd,DIV_RATIOCSD,普通股股东年度现金分红比例(已宣告),Year,xla去前缀变体
div_ratiocsd_ex,DIV_RATIOCSD_EX,"普通股股东年度现金分红比例(已宣告,剔除特别派息)",Year,xla去前缀变体
div_recdateshareb,DIV_RECDATESHAREB,B股股权登记日(新增),D,xla去前缀变体
div_recorddate,DIV_RECORDDATE,股权登记日,REPORTDATE,xla去前缀变体
div_shares,DIV_SHARES,分红基准股本,REPORTDATE,xla去前缀变体
div_smtgdate,DIV_SMTGDATE,股东大会公告日(新增),D,xla去前缀变体
div_stock,DIV_STOCK,每股红股,REPORTDATE,xla去前缀变体
div_stock2,DIV_STOCK2,每股红股(已宣告),REPORTDATE,xla去前缀变体
div_times,DIV_TIMES,年度分红次数,RPTYEAR,xla去前缀变体
div_trddateshareb,DIV_TRDDATESHAREB,红股上市交易日(新增),D,xla去前缀变体
dividendyield,DIVIDENDYIELD,股息率(股票获利率),,xla去前缀变体
dividendyield2,DIVIDENDYIELD2,股息率(近12月),,探测法实测
dlmonth,DLMONTH,交割月份,,xla去前缀变体
dma,DMA,DMA平均线差,,xla原码
dmi,DMI,DMI趋向指标,,xla原码
dmi_2,DMI_2,DMI趋向标准,TRADEDATE,xla原码
doublelow,DOUBLELOW,双低,TRADEDATE,xla去前缀变体
down_mkt_capture,DOWN_MKT_CAPTURE,下行捕获率,StartDate、EndDate、CalcTerm、Underlying_Index,xla去前缀变体
dp_yoy,DP_YOY,扣除非经常性损益后的净利润(同比增长率),REPORTDATE,xla去前缀变体
dpo,DPO,DPO区间震荡线,,xla原码
dq_amount_cnbd,DQ_AMOUNT_CNBD,现券结算量(中债),TRADEDATE,xla去前缀变体
dq_amtturnover,DQ_AMTTURNOVER,换手率(基准.流通市值),TRADEDATE,xla去前缀变体
dq_change_close,DQ_CHANGE_CLOSE,涨跌(收盘价),TRADEDATE,xla去前缀变体
dq_change_cnbd,DQ_CHANGE_CNBD,涨跌(中债),TRADEDATE,xla去前缀变体
dq_close_cnbd,DQ_CLOSE_CNBD,指数值(中债),TRADEDATE,xla去前缀变体
dq_close_night,DQ_CLOSE_NIGHT,收盘价(夜盘),TRADEDATE,xla去前缀变体
dq_oiamount,DQ_OIAMOUNT,持仓额,TRADEDATE,xla去前缀变体
dq_pctchange_cnbd,DQ_PCTCHANGE_CNBD,涨跌幅(中债),TRADEDATE,xla去前缀变体
dq_price_commodity,DQ_PRICE_COMMODITY,商品期货特殊时点价,TRADEDATE、Point,xla去前缀变体
dq_price_premetals,DQ_PRICE_PREMETALS,贵金属现货特殊时点价,TRADEDATE,xla去前缀变体
dq_quote_ask,DQ_QUOTE_ASK,最优报卖价,TRADEDATE,xla去前缀变体
dq_quote_bid,DQ_QUOTE_BID,最优报买价,TRADEDATE,xla去前缀变体
dq_quote_mid,DQ_QUOTE_MID,最优报中价,TRADEDATE,xla去前缀变体
dq_settle,DQ_SETTLE,结算价,,xla去前缀变体
dq_stockmktcap1,DQ_STOCKMKTCAP1,正股总市值1,TRADEDATE,xla去前缀变体
dq_stockmktcap2,DQ_STOCKMKTCAP2,正股总市值2,TRADEDATE,xla去前缀变体
dsceval,DSCEVAL,上市公司信息披露考评,Year,xla去前缀变体
dupont_assetstoequity,DUPONT_ASSETSTOEQUITY,权益乘数(杜邦分析)(新增),D,xla去前缀变体
dupont_intburden,DUPONT_INTBURDEN,利润总额／息税前利润(新增),D,xla去前缀变体
dupont_np,DUPONT_NP,归属母公司股东的净利润／净利润(新增),D,xla去前缀变体
dupont_taxburden,DUPONT_TAXBURDEN,净利润／利润总额(新增),D,xla去前缀变体
duration,DURATION,久期,,探测法实测
eaname,EANAME,证券扩位简称,,xla去前缀变体
earning,EARNING,是否尚未盈利,,xla去前缀变体
ebbondpre_csi,EBBONDPRE_CSI,可交换债纯债溢价率(中证指数),TRADEDATE,xla去前缀变体
ebconversionpre_csi,EBCONVERSIONPRE_CSI,可交换债转股溢价率(中证指数),TRADEDATE,xla去前缀变体
ebit,EBIT,息税前利润EBIT,,探测法实测
ebit2,EBIT2,EBIT(正常化),,探测法实测
ebit_ttm,EBIT_TTM,息税前利润(TTM),,xla去前缀变体
ebit_ttm2,EBIT_TTM2,息税前利润(TTM反推法),REPORTDATE,xla去前缀变体
ebitda,EBITDA,息税折旧摊销前利润EBITDA,,探测法实测
ebitda2,EBITDA2,息税折旧摊销前利润(正向法)(新增),DEALDATE、TP,xla去前缀变体
ebitda_ttm,EBITDA_TTM,EBITDA(TTM反推法),REPORTDATE,xla去前缀变体
ebitdaps,EBITDAPS,每股EBITDA,REPORTDATE,xla去前缀变体
ebitdatodebt,EBITDATODEBT,息税折旧摊销前利润／负债合计,REPORTDATE,xla去前缀变体
ebitdatointerest,EBITDATOINTEREST,EBITDA/利息费用,REPORTDATE,xla去前缀变体
ebitdatointerestdebt,EBITDATOINTERESTDEBT,EBITDA/带息债务,REPORTDATE,xla去前缀变体
ebitdatosales,EBITDATOSALES,EBITDA/营业总收入,REPORTDATE,xla去前缀变体
ebitps,EBITPS,每股息税前利润,REPORTDATE,xla去前缀变体
ebittoassets,EBITTOASSETS,息税前利润／总资产,REPORTDATE,xla去前缀变体
ebittoassets2,EBITTOASSETS2,息税前利润(TTM)/总资产,REPORTDATE,xla去前缀变体
ebittoassets_ttm,EBITTOASSETS_TTM,息税前利润(TTM)/总资产,REPORTDATE,xla去前缀变体
ebittogr,EBITTOGR,息税前利润／营业总收入,REPORTDATE,xla去前缀变体
ebittointerest,EBITTOINTEREST,已获利息倍数(EBIT／利息费用),REPORTDATE,xla去前缀变体
eboptionval_csi,EBOPTIONVAL_CSI,可交换债期权价值(中证指数),TRADEDATE,xla去前缀变体
ebr,EBR,研发支出前利润,REPORTDATE,xla去前缀变体
ebt_ttm,EBT_TTM,利润总额(TTM),,xla去前缀变体
ebt_ttm2,EBT_TTM2,利润总额(TTM),REPORTDATE,xla去前缀变体
ebttoor_ttm,EBTTOOR_TTM,利润总额/营业收入(TTM),REPORTDATE,xla去前缀变体
ebval_csi,EBVAL_CSI,可交换债估值(中证指数),TRADEDATE,xla去前缀变体
ebvalyield_csi,EBVALYIELD_CSI,可交换债估值收益率(中证指数),TRADEDATE,xla去前缀变体
eft_invsttype,EFT_INVSTTYPE,ETF投资范围分类,FundGroup,xla去前缀变体
elcd_number,ELCD_NUMBER,交易所最新确认文件文号,,xla去前缀变体
email,EMAIL,公司电子邮件地址,,xla去前缀变体
embeddedopt_his,EMBEDDEDOPT_HIS,是否含权债(支持历史),DEALDATE,xla去前缀变体
employee,EMPLOYEE,员工总数,,xla去前缀变体
employee_admin,EMPLOYEE_ADMIN,综合管理人员人数,TRADEDATE,xla去前缀变体
employee_admin_pct,EMPLOYEE_ADMIN_PCT,综合管理人员人数占比,TRADEDATE,xla去前缀变体
employee_ba,EMPLOYEE_BA,本科人数,TRADEDATE,xla去前缀变体
employee_ba_pct,EMPLOYEE_BA_PCT,本科人数占比,TRADEDATE,xla去前缀变体
employee_board,EMPLOYEE_BOARD,董事会人数,TRADEDATE,xla去前缀变体
employee_coll,EMPLOYEE_COLL,专科人数,TRADEDATE,xla去前缀变体
employee_coll_pct,EMPLOYEE_COLL_PCT,专科人数占比,TRADEDATE,xla去前缀变体
employee_excu,EMPLOYEE_EXCU,行政人员人数,TRADEDATE,xla去前缀变体
employee_excu_pct,EMPLOYEE_EXCU_PCT,行政人员人数占比,TRADEDATE,xla去前缀变体
employee_executivedirector,EMPLOYEE_EXECUTIVEDIRECTOR,执行董事人数,TRADEDATE,xla去前缀变体
employee_f,EMPLOYEE_F,女性员工人数,TRADEDATE,xla去前缀变体
employee_fin,EMPLOYEE_FIN,财务人员人数,TRADEDATE,xla去前缀变体
employee_fin_pct,EMPLOYEE_FIN_PCT,财务人员人数占比,TRADEDATE,xla去前缀变体
employee_highschool,EMPLOYEE_HIGHSCHOOL,高中及以下人数,TRADEDATE,xla去前缀变体
employee_highschool_pct,EMPLOYEE_HIGHSCHOOL_PCT,高中及以下人数占比,TRADEDATE,xla去前缀变体
employee_hr,EMPLOYEE_HR,人事人员人数,TRADEDATE,xla去前缀变体
employee_hr_pct,EMPLOYEE_HR_PCT,人事人员人数占比,TRADEDATE,xla去前缀变体
employee_indpdirector,EMPLOYEE_INDPDIRECTOR,独立董事人数,TRADEDATE,xla去前缀变体
employee_m,EMPLOYEE_M,男性员工人数,TRADEDATE,xla去前缀变体
employee_mgmt,EMPLOYEE_MGMT,高管人数,TRADEDATE,xla去前缀变体
employee_ms,EMPLOYEE_MS,硕士人数,TRADEDATE,xla去前缀变体
employee_ms_pct,EMPLOYEE_MS_PCT,硕士人数占比,TRADEDATE,xla去前缀变体
employee_othdegree,EMPLOYEE_OTHDEGREE,其他学历人数,TRADEDATE,xla去前缀变体
employee_othdegree_pct,EMPLOYEE_OTHDEGREE_PCT,其他学历人数占比,TRADEDATE,xla去前缀变体
employee_othdept,EMPLOYEE_OTHDEPT,其他人员人数,TRADEDATE,xla去前缀变体
employee_othdept_pct,EMPLOYEE_OTHDEPT_PCT,其他专业人员人数占比,TRADEDATE,xla去前缀变体
employee_pc,EMPLOYEE_PC,母公司员工人数,TRADEDATE,xla去前缀变体
employee_phd,EMPLOYEE_PHD,博士人数,TRADEDATE,xla去前缀变体
employee_phd_pct,EMPLOYEE_PHD_PCT,博士人数占比,TRADEDATE,xla去前缀变体
employee_producer,EMPLOYEE_PRODUCER,生产人员人数,TRADEDATE,xla去前缀变体
employee_producer_pct,EMPLOYEE_PRODUCER_PCT,生产人员人数占比,TRADEDATE,xla去前缀变体
employee_pur,EMPLOYEE_PUR,采购仓储人员人数,TRADEDATE,xla去前缀变体
employee_pur_pct,EMPLOYEE_PUR_PCT,采购仓储人员人数占比,TRADEDATE,xla去前缀变体
employee_rc,EMPLOYEE_RC,风控稽核人员人数,TRADEDATE,xla去前缀变体
employee_rc_pct,EMPLOYEE_RC_PCT,风控稽核人员人数占比,TRADEDATE,xla去前缀变体
employee_sale,EMPLOYEE_SALE,销售人员人数,TRADEDATE,xla去前缀变体
employee_sale_pct,EMPLOYEE_SALE_PCT,销售人员人数占比,TRADEDATE,xla去前缀变体
employee_server,EMPLOYEE_SERVER,客服人员人数,TRADEDATE,xla去前缀变体
employee_server_pct,EMPLOYEE_SERVER_PCT,客服人员人数占比,TRADEDATE,xla去前缀变体
employee_tech,EMPLOYEE_TECH,技术人员人数,TRADEDATE,xla去前缀变体
employee_tech_pct,EMPLOYEE_TECH_PCT,技术人员人数占比,TRADEDATE,xla去前缀变体
employee_techcore,EMPLOYEE_TECHCORE,核心技术人员人数,TRADEDATE,xla去前缀变体
employee_totalmgmt,EMPLOYEE_TOTALMGMT,管理层人数,TRADEDATE,xla去前缀变体
env,ENV,ENV指标,,xla原码
eobspecialinstrutions,EOBSPECIALINSTRUTIONS,含权债期限特殊说明(新增),,xla去前缀变体
eps_adjust,EPS_ADJUST,每股收益EPS-最新股本摊薄,REPORTDATE,xla去前缀变体
eps_basic,EPS_BASIC,每股收益EPS(基本),,探测法实测
eps_deducted_ttm,EPS_DEDUCTED_TTM,扣非后每股收益(TTM),REPORTDATE,xla去前缀变体
eps_diluted,EPS_DILUTED,每股收益EPS(稀释),,探测法实测
eps_diluted2,EPS_DILUTED2,每股收益EPS-期末股本摊薄,REPORTDATE,xla去前缀变体
eps_exbasic,EPS_EXBASIC,每股收益EPS-扣除／基本,REPORTDATE,xla去前缀变体
eps_exdiluted,EPS_EXDILUTED,每股收益EPS-扣除／稀释,REPORTDATE,xla去前缀变体
eps_exdiluted2,EPS_EXDILUTED2,每股收益EPS-扣除／期末股本摊薄,REPORTDATE,xla去前缀变体
eps_ttm,EPS_TTM,每股收益EPS(TTM),,探测法实测
equity_mrq,EQUITY_MRQ,归属母公司股东的权益(MRQ),,xla去前缀变体
equity_mrq2,EQUITY_MRQ2,归属母公司股东权益(MRQ),TRADEDATE,xla去前缀变体
equity_new,EQUITY_NEW,归属母公司股东的权益(最新公告),,xla去前缀变体
equity_to_asset,EQUITY_TO_ASSET,股东权益比,REPORTDATE、TYPE,xla去前缀变体
equitytodebt,EQUITYTODEBT,当日总市值／负债总计,REPORTDATE,xla去前缀变体
equitytointerestdebt,EQUITYTOINTERESTDEBT,归属母公司股东的权益／带息债务,REPORTDATE,xla去前缀变体
equitytototalcapital,EQUITYTOTOTALCAPITAL,归属母公司股东的权益／全部投入资本,REPORTDATE,xla去前缀变体
err_wi,ERR_WI,盈利修正比例(可选类型),,xla去前缀变体
esg_approval,ESG_APPROVAL,ESG债券认证标准,,xla去前缀变体
esg_benefit_evaluation,ESG_BENEFIT_EVALUATION,ESG债券效益评估,,xla去前缀变体
esg_conclusion,ESG_CONCLUSION,ESG债券认证结论,,xla去前缀变体
esg_cr_wind,ESG_CR_WIND,确定性等级,REPORTDATE,xla去前缀变体
esg_eem01001,ESG_EEM01001,SCOPE 1 温室气体排放,REPORTDATE,xla去前缀变体
esg_eem01002,ESG_EEM01002,SCOPE 2 温室气体排放,REPORTDATE,xla去前缀变体
esg_eem01004,ESG_EEM01004,总温室气体排放,REPORTDATE,xla去前缀变体
esg_eem01008,ESG_EEM01008,温室气体减排量,REPORTDATE,xla去前缀变体
esg_eem01011,ESG_EEM01011,是否就气候变化机会进行讨论,REPORTDATE,xla去前缀变体
esg_eem01012,ESG_EEM01012,是否就气候变化风险进行讨论,REPORTDATE,xla去前缀变体
esg_eem02001,ESG_EEM02001,氮氧化物排放,REPORTDATE,xla去前缀变体
esg_eem02002,ESG_EEM02002,二氧化硫排放,REPORTDATE,xla去前缀变体
esg_eem02003,ESG_EEM02003,悬浮粒子/颗粒物,REPORTDATE,xla去前缀变体
esg_eem03001,ESG_EEM03001,有害废弃物量,REPORTDATE,xla去前缀变体
esg_eem03002,ESG_EEM03002,无害废弃物量,REPORTDATE,xla去前缀变体
esg_eem03003,ESG_EEM03003,废弃物总量,REPORTDATE,xla去前缀变体
esg_eem03004,ESG_EEM03004,废弃物回收量,REPORTDATE,xla去前缀变体
esg_em_wind,ESG_EM_WIND,计算方法,REPORTDATE,xla去前缀变体
esg_eot01003,ESG_EOT01003,是否重点排污单位,REPORTDATE,xla去前缀变体
esg_eot02002,ESG_EOT02002,环保超标或其他违规次数,REPORTDATE,xla去前缀变体
esg_ere01001,ESG_ERE01001,总能源消耗,REPORTDATE,xla去前缀变体
esg_ere01002,ESG_ERE01002,耗电总量,REPORTDATE,xla去前缀变体
esg_ere01003,ESG_ERE01003,节省用电量,REPORTDATE,xla去前缀变体
esg_ere01004,ESG_ERE01004,煤碳使用量,REPORTDATE,xla去前缀变体
esg_ere01005,ESG_ERE01005,天然气消耗,REPORTDATE,xla去前缀变体
esg_ere01006,ESG_ERE01006,燃油消耗,REPORTDATE,xla去前缀变体
esg_ere01007,ESG_ERE01007,节能量,REPORTDATE,xla去前缀变体
esg_ere02001,ESG_ERE02001,纸消耗量,REPORTDATE,xla去前缀变体
esg_ere02002,ESG_ERE02002,废纸回收量,REPORTDATE,xla去前缀变体
esg_escore_wind,ESG_ESCORE_WIND,环境维度得分,TRADEDATE,xla去前缀变体
esg_eventscore_wind,ESG_EVENTSCORE_WIND,ESG争议事件得分,TRADEDATE,xla去前缀变体
esg_ewa01001,ESG_EWA01001,总用水量,REPORTDATE,xla去前缀变体
esg_ewa01002,ESG_EWA01002,节省水量,REPORTDATE,xla去前缀变体
esg_ewa01003,ESG_EWA01003,水循环与再利用的总量,REPORTDATE,xla去前缀变体
esg_ewa01004,ESG_EWA01004,废水综合利用率,REPORTDATE,xla去前缀变体
esg_ewa02002,ESG_EWA02002,废水/污水排放量,REPORTDATE,xla去前缀变体
esg_ewa02003,ESG_EWA02003,废水处理量,REPORTDATE,xla去前缀变体
esg_ewa02004,ESG_EWA02004,氨氮,REPORTDATE,xla去前缀变体
esg_ewa02005,ESG_EWA02005,化学需氧量(COD),REPORTDATE,xla去前缀变体
esg_gad01001,ESG_GAD01001,审计委员会会议次数,REPORTDATE,xla去前缀变体
esg_gad01002,ESG_GAD01002,审计委员会会议出席率,REPORTDATE,xla去前缀变体
esg_gad02002,ESG_GAD02002,是否出具标准无保留意见,REPORTDATE,xla去前缀变体
esg_gbo01001,ESG_GBO01001,董事会规模,REPORTDATE,xla去前缀变体
esg_gbo01002,ESG_GBO01002,董事会出席率,REPORTDATE,xla去前缀变体
esg_gbo01003,ESG_GBO01003,董事会召开数,REPORTDATE,xla去前缀变体
esg_gbo01004,ESG_GBO01004,参加少于75%会议的董事人数,REPORTDATE,xla去前缀变体
esg_gbo01005,ESG_GBO01005,监事会召开数,REPORTDATE,xla去前缀变体
esg_gbo01006,ESG_GBO01006,监事出席率,REPORTDATE,xla去前缀变体
esg_gbo01007,ESG_GBO01007,是否设有监事委员会主席,REPORTDATE,xla去前缀变体
esg_gbo01008,ESG_GBO01008,提名委员会会议数,REPORTDATE,xla去前缀变体
esg_gbo01010,ESG_GBO01010,提名委员会会议出席率,REPORTDATE,xla去前缀变体
esg_gbo01014,ESG_GBO01014,董事会成员受教育背景高于本科的比例,REPORTDATE,xla去前缀变体
esg_gbo01015,ESG_GBO01015,女性董事占比,REPORTDATE,xla去前缀变体
esg_gbo03001,ESG_GBO03001,独立董事董事会会议出席率,REPORTDATE,xla去前缀变体
esg_gbo03002,ESG_GBO03002,独立董事占董事会总人数的比例,REPORTDATE,xla去前缀变体
esg_gcb_wind,ESG_GCB_WIND,绿色信贷余额,Year,xla去前缀变体
esg_gcbtd_wind,ESG_GCBTD_WIND,绿色信贷余额,REPORTDATE,xla去前缀变体
esg_ghg12_wind,ESG_GHG12_WIND,温室气体排放总量(范围1和范围2),REPORTDATE,xla去前缀变体
esg_ghg1_wind,ESG_GHG1_WIND,直接(范围1)温室气体排放,REPORTDATE,xla去前缀变体
esg_ghg2_wind,ESG_GHG2_WIND,能源间接(范围2)温室气体排放,REPORTDATE,xla去前缀变体
esg_ghgr12_wind,ESG_GHGR12_WIND,每百万元营收温室气体排放量(范围1和范围2),REPORTDATE,xla去前缀变体
esg_ghgr1_wind,ESG_GHGR1_WIND,每百万元营收直接(范围1)温室气体排放,REPORTDATE,xla去前缀变体
esg_ghgr2_wind,ESG_GHGR2_WIND,每百万元营收间接温室气体排放(范围2),REPORTDATE,xla去前缀变体
esg_gpa02001,ESG_GPA02001,是否有股权激励计划,REPORTDATE,xla去前缀变体
esg_gpa03002,ESG_GPA03002,薪酬委员会会议出席率,REPORTDATE,xla去前缀变体
esg_gpa03003,ESG_GPA03003,薪酬委员会会议数,REPORTDATE,xla去前缀变体
esg_gscore_wind,ESG_GSCORE_WIND,治理维度得分,TRADEDATE,xla去前缀变体
esg_invention,ESG_INVENTION,有效专利总数,TRADEDATE,xla去前缀变体
esg_mdc01002,ESG_MDC01002,公司是否有独立的公司社会责任报告,REPORTDATE,xla去前缀变体
esg_mdc01003,ESG_MDC01003,第三方审查机构,REPORTDATE,xla去前缀变体
esg_mdc01004,ESG_MDC01004,报告范围,REPORTDATE,xla去前缀变体
esg_mdc01005,ESG_MDC01005,编制依据,REPORTDATE,xla去前缀变体
esg_mdc01006,ESG_MDC01006,是否遵循/对照GRI标准,REPORTDATE,xla去前缀变体
esg_mdc01007,ESG_MDC01007,是否遵循/对照联交所标准,REPORTDATE,xla去前缀变体
esg_mgmtscore_wind,ESG_MGMTSCORE_WIND,ESG管理实践得分,TRADEDATE,xla去前缀变体
esg_pplb_wind,ESG_PPLB_WIND,普惠型小微企业贷款余额,REPORTDATE,xla去前缀变体
esg_proportion,ESG_PROPORTION,ESG债券募集金额认定比例,,xla去前缀变体
esg_rating,ESG_RATING,ESG评级,TRADEDATE,xla去前缀变体
esg_rating_casvi,ESG_RATING_CASVI,社会价值投资联盟ESG评级,TRADEDATE,xla去前缀变体
esg_rating_ftserussell,ESG_RATING_FTSERUSSELL,富时罗素ESG评分,TRADEDATE,xla去前缀变体
esg_rating_ssi,ESG_RATING_SSI,华证ESG评级,TRADEDATE,xla去前缀变体
esg_rating_wind,ESG_RATING_WIND,Wind ESG评级,TRADEDATE,xla去前缀变体
esg_ratingdate_wind,ESG_RATINGDATE_WIND,Wind ESG评级日期,TRADEDATE,xla去前缀变体
esg_reptdate_wind,ESG_REPTDATE_WIND,ESG独立报告发布日期,REPORTDATE,xla去前缀变体
esg_rpt_wind,ESG_RPT_WIND,ESG独立报告名称,REPORTDATE,xla去前缀变体
esg_sch01001,ESG_SCH01001,供应商数量,REPORTDATE,xla去前缀变体
esg_sch01002,ESG_SCH01002,供应商本地化比例,REPORTDATE,xla去前缀变体
esg_sch02001,ESG_SCH02001,本地化采购支出占比,REPORTDATE,xla去前缀变体
esg_sch02002,ESG_SCH02002,接受ESG评估的供应商数量,REPORTDATE,xla去前缀变体
esg_sco02001,ESG_SCO02001,志愿服务时长,REPORTDATE,xla去前缀变体
esg_sco02002,ESG_SCO02002,注册志愿者人数,REPORTDATE,xla去前缀变体
esg_score_wind,ESG_SCORE_WIND,Wind ESG综合得分,TRADEDATE,xla去前缀变体
esg_sem01001,ESG_SEM01001,雇员总人数,REPORTDATE,xla去前缀变体
esg_sem01002,ESG_SEM01002,员工流失率/离职率,REPORTDATE,xla去前缀变体
esg_sem01003,ESG_SEM01003,兼职人员比例,REPORTDATE,xla去前缀变体
esg_sem01004,ESG_SEM01004,劳动合同签订率,REPORTDATE,xla去前缀变体
esg_sem01005,ESG_SEM01005,女性员工比例,REPORTDATE,xla去前缀变体
esg_sem01006,ESG_SEM01006,少数裔员工比例,REPORTDATE,xla去前缀变体
esg_sem02002,ESG_SEM02002,人均培训课时,REPORTDATE,xla去前缀变体
esg_sem03001,ESG_SEM03001,工伤率,REPORTDATE,xla去前缀变体
esg_sem03002,ESG_SEM03002,因工伤损失工作日数,REPORTDATE,xla去前缀变体
esg_sem03003,ESG_SEM03003,职业病发生率,REPORTDATE,xla去前缀变体
esg_sem03004,ESG_SEM03004,死亡事故数,REPORTDATE,xla去前缀变体
esg_sem04001,ESG_SEM04001,医保覆盖率,REPORTDATE,xla去前缀变体
esg_spc01001,ESG_SPC01001,客户投诉数量,REPORTDATE,xla去前缀变体
esg_spc01002,ESG_SPC01002,客户满意度,REPORTDATE,xla去前缀变体
esg_spc01003,ESG_SPC01003,是否有客户反馈系统,REPORTDATE,xla去前缀变体
esg_spc02004,ESG_SPC02004,新增专利数,REPORTDATE,xla去前缀变体
esg_sscore_wind,ESG_SSCORE_WIND,社会维度得分,TRADEDATE,xla去前缀变体
esgbondtype,ESGBONDTYPE,ESG(绿色)债券类型,,xla去前缀变体
esgl1type,ESGL1TYPE,ESG(绿色)债券一级分类,,xla去前缀变体
esgl2type,ESGL2TYPE,ESG(绿色)债券二级分类,,xla去前缀变体
est_avgbps,EST_AVGBPS,预测每股净资产(综合值),RPTYEAR,xla去前缀变体
est_avgbps1,EST_AVGBPS1,预测每股净资产(BPS)平均值,,xla去前缀变体
est_avgcps,EST_AVGCPS,预测每股现金流(综合值),RPTYEAR,xla去前缀变体
est_avgcps1,EST_AVGCPS1,预测每股现金流(CPS)平均值,,xla去前缀变体
est_avgdps,EST_AVGDPS,预测每股股利(综合值),RPTYEAR,xla去前缀变体
est_avgdps1,EST_AVGDPS1,预测每股股利(DPS)平均值,,xla去前缀变体
est_avgebit,EST_AVGEBIT,预测息税前利润(综合值),RPTYEAR,xla去前缀变体
est_avgebit1,EST_AVGEBIT1,预测息税前利润(EBIT)平均值,,xla去前缀变体
